CODIGO;DESCRICAO
03;ALIENAÇÃO FIDUCIÁRIA           
01;ARRENDAMENTO                   
02;RESERVA DE DOMÍNIO             
04;RESTRIÇÃO JUDICIAL             
07;RESTRIÇÃO POR BENEF. TRIBUTÁRIO
06;RESTRIÇÃO POR ROUBO OU FURTO   
