CODIGO;DESCRICAO
06;AUTOMÓVEL
14;CAMINHÃO
13;CAMINHONETA
24;CARGA / CAM
02;CICLOMOTO
22;ESP / ÔNIBUS
07;MICROÔNIBUS
23;MISTO / CAM
04;MOTOCICLO
03;MOTONETA
08;ÔNIBUS
10;REBOQUE
05;TRICICLO
17;C. TRATOR
